,resource,resource_type,direct_access,description,experiment,case,component,stream,variable,date_range,ensemble,file_fullpath,file_basename,file_dirname,ctrl_branch_year,year_offset,sequence_order,has_ocean_bgc,grid
10,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,CaCO3_FLUX_100m,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.CaCO3_FLUX_100m.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.CaCO3_FLUX_100m.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
11,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,UVEL,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.UVEL.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.UVEL.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
12,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,Jint_100m_O2,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.Jint_100m_O2.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.Jint_100m_O2.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
13,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,FRACR_BIN_05,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.FRACR_BIN_05.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.FRACR_BIN_05.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
14,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,sp_Fe_lim_Cweight_avg_100m,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.sp_Fe_lim_Cweight_avg_100m.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.sp_Fe_lim_Cweight_avg_100m.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
15,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,ADVT_ISOP,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ADVT_ISOP.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ADVT_ISOP.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
16,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,ADV_3D_SALT,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ADV_3D_SALT.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ADV_3D_SALT.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
17,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,sp_loss_zint_100m,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.sp_loss_zint_100m.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.sp_loss_zint_100m.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
18,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,spChl,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.spChl.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.spChl.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
19,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,DOCr_remin_zint_100m,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.DOCr_remin_zint_100m.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.DOCr_remin_zint_100m.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
20,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,PO4,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.PO4.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.PO4.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
